City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
217,vieques,90,PR,1529879220,78,18.43,-65.83,82.4,12.75
218,santa cruz,1,US,1529879700,64,36.97,-122.03,84.2,14.99
219,bedong,75,MY,1529877600,94,5.73,100.51,78.8,1.45
220,kolpashevo,12,RU,1529880967,76,58.31,82.9,64.65,2.68
221,esna,64,RO,1529880968,78,45.2,27.57,60.06,6.38
222,chaiyo,92,TH,1529880968,98,14.68,100.47,74.46,5.03
223,saint-philippe,75,CA,1529879700,82,45.36,-73.48,66.2,10.29
224,lata,12,IN,1529880488,79,30.78,78.62,56.37,2.13
225,lima,12,PE,1529880581,76,-12.06,-77.04,57.99,2.57
226,booue,36,GA,1529880969,100,-0.09,11.94,70.14,2.13
227,gizo,20,IL,1529878800,69,31.8,34.94,77.0,1.12
228,caravelas,0,BR,1529880398,98,-17.73,-39.27,77.07,10.74
229,poronaysk,92,RU,1529880970,95,49.22,143.1,47.64,7.05
230,vancouver,1,US,1529877360,39,45.63,-122.67,84.2,3.36
231,vila velha,0,BR,1529877600,78,-3.71,-38.6,78.8,9.17
232,yelabuga,0,RU,1529877600,77,55.76,52.06,69.8,2.24
233,boguchany,0,RU,1529880560,72,58.38,97.46,68.79,3.36
234,haines junction,80,CA,1529880972,35,60.75,-137.51,57.72,2.91
235,pangody,36,RU,1529880972,98,65.85,74.49,57.18,7.94
236,nome,75,US,1529879700,62,30.04,-94.42,89.6,13.87
237,zhireken,92,RU,1529880973,99,52.82,117.29,55.74,9.28
238,xining,76,CN,1529880973,94,36.62,101.77,56.46,3.58
239,bandarbeyla,20,SO,1529880974,77,9.49,50.81,78.69,29.86
240,santa marta,75,CO,1529877600,79,11.24,-74.21,84.2,4.7
241,astoria,1,US,1529877300,64,46.19,-123.83,73.4,11.41
242,khorixas,0,NA,1529880976,52,-20.37,14.96,46.56,1.68
243,saint-felicien,40,CA,1529877600,30,48.65,-72.45,69.8,10.29
244,kirakira,80,SB,1529880505,100,-10.46,161.92,78.78,10.63
245,bosansko grahovo,48,BA,1529880977,90,44.18,16.37,44.4,1.9
246,klyuchi,88,RU,1529880977,94,52.25,79.17,64.02,2.8
247,jiwani,0,PK,1529880978,91,25.05,61.74,84.18,5.37
248,taltal,0,CL,1529880512,97,-25.41,-70.49,48.72,1.68
249,ongandjera,0,NA,1529880978,52,-17.88,15.07,47.64,3.58
250,burnie,0,AU,1529880979,100,-41.05,145.91,53.13,12.75
251,baykit,0,RU,1529880980,78,61.68,96.39,70.86,3.69
252,tommot,88,RU,1529880980,74,58.97,126.27,66.99,2.13
253,fortuna,0,ES,1529879400,78,38.18,-1.13,75.2,9.17
254,kenora,1,CA,1529879700,56,49.76,-94.48,71.6,4.7
255,varkaus,100,FI,1529880918,63,62.32,27.87,58.98,11.41
256,urambo,92,TZ,1529880982,44,-5.07,32.07,71.67,2.8
257,mapiripan,92,CO,1529880982,100,2.89,-72.13,69.78,3.02
258,cabo san lucas,5,MX,1529876820,54,22.89,-109.91,84.2,20.8
259,provideniya,90,RU,1529879400,87,64.42,-173.23,42.8,6.71
260,davila,20,PH,1529877600,100,18.47,120.58,77.0,2.24
261,lompoc,20,US,1529879700,68,34.64,-120.46,80.6,11.41
262,talnakh,44,RU,1529880517,78,69.49,88.39,58.98,7.61
263,ovalle,0,CL,1529880518,100,-30.6,-71.2,47.46,3.13
264,camacha,40,PT,1529879400,77,33.08,-16.33,68.0,4.7
265,lazaro cardenas,40,MX,1529877120,18,28.39,-105.62,98.6,9.17
266,san rafael,0,AR,1529880986,77,-34.61,-68.33,31.26,4.7
267,salmo,40,CA,1529877600,30,49.19,-117.28,86.0,6.93
268,prince rupert,90,CA,1529879220,93,54.32,-130.32,55.4,5.82
269,xihe,92,CN,1529880986,100,34.02,105.29,61.59,3.24
270,bonfim,0,BR,1529877600,60,-20.33,-44.24,71.6,4.7
271,naze,64,NG,1529880987,97,5.43,7.07,72.21,4.59
272,vostok,0,RU,1529880459,63,46.45,135.83,57.54,2.35
273,monte alegre,12,BR,1529880988,82,-2.0,-54.07,77.34,3.91
274,soroti,20,UG,1529880988,100,1.71,33.61,60.15,3.36
275,chuy,88,UY,1529880989,95,-33.69,-53.46,41.43,4.36
276,muros,8,ES,1529879400,94,42.77,-9.06,68.0,3.36
277,aberdeen,20,US,1529877180,57,45.47,-98.49,80.6,5.82
278,murray,1,US,1529878500,27,40.67,-111.89,80.6,10.29
279,sambava,88,MG,1529880609,100,-14.27,50.17,72.39,21.25
280,upernavik,56,GL,1529880537,100,72.79,-56.15,29.46,11.63
281,houma,80,CN,1529880992,97,35.63,111.36,71.31,3.58
282,ruidoso,1,US,1529879700,8,33.33,-105.67,102.2,8.05
283,kargasok,8,RU,1529880993,87,59.06,80.87,62.67,2.24
284,talaya,92,RU,1529880993,93,55.79,84.89,64.56,1.34
285,karratha,0,AU,1529880993,38,-20.74,116.85,56.28,18.12
286,coihueco,90,CL,1529877600,81,-36.63,-71.83,44.6,2.24
287,sao filipe,36,CV,1529880994,100,14.9,-24.5,73.38,10.29
288,kavieng,48,PG,1529880994,100,-2.57,150.8,83.1,8.16
289,carutapera,12,BR,1529880558,78,-1.2,-46.02,80.85,8.5
290,ashtian,0,IR,1529880995,58,34.52,50.0,55.47,2.13
291,tuatapere,92,NZ,1529880526,100,-46.13,167.69,43.32,21.25
292,sringeri,75,IN,1529877600,100,13.43,75.26,73.4,5.82
293,nuuk,76,GL,1529877000,93,64.17,-51.74,37.4,8.05
294,sheridan,40,US,1529879760,45,39.65,-105.03,71.6,5.82
295,komsomolskiy,20,RU,1529880997,66,67.55,63.78,48.54,5.59
296,tarrega,0,ES,1529879400,83,41.65,1.14,69.8,2.35
297,mutsu,20,JP,1529877600,55,41.29,141.2,60.8,14.99
298,mombasa,92,KE,1529880998,100,-4.05,39.67,75.72,14.43
299,kalaleh,0,IR,1529880999,79,37.38,55.49,65.82,3.24
300,natal,75,BR,1529877600,83,-5.81,-35.21,77.0,12.75
301,pundaguitan,88,PH,1529881001,100,6.37,126.17,82.56,3.58
302,roma,40,IT,1529878800,60,41.89,12.48,68.0,9.17
303,cabedelo,75,BR,1529877600,78,-6.97,-34.84,75.2,9.17
304,jumla,0,NP,1529881001,90,29.28,82.18,36.48,2.68
305,chuguyevka,20,RU,1529881002,59,44.17,133.87,63.21,2.68
306,luganville,44,VU,1529881003,100,-15.51,167.18,77.7,15.32
307,pirgos,40,GR,1529878800,83,35.12,25.72,75.2,6.93
308,mar del plata,0,AR,1529881004,64,-46.43,-67.52,41.88,14.09
309,port lincoln,56,AU,1529880432,100,-34.72,135.86,53.94,6.6
310,severomuysk,92,RU,1529881004,100,56.17,113.57,49.98,2.57
311,marsaxlokk,20,MT,1529878500,88,35.84,14.54,69.8,4.7
312,szubin,20,PL,1529879400,93,53.01,17.74,46.4,1.12
313,hirara,75,JP,1529877600,94,24.8,125.28,82.4,5.82
314,biak,76,ID,1529880517,100,-0.91,122.88,75.18,3.02
315,sidi bin nur,20,TN,1529879400,78,35.53,10.92,75.2,3.36
316,coihaique,75,CL,1529877600,67,-45.58,-72.07,42.8,8.05
317,igrim,0,RU,1529881008,57,63.19,64.42,56.37,5.37
318,nantucket,90,US,1529879940,93,41.28,-70.1,69.8,5.82
319,majene,56,ID,1529881009,100,-3.54,118.97,81.12,17.67
320,sagua de tanamo,0,CU,1529881010,79,20.58,-75.24,76.26,3.36
321,the valley,40,AI,1529877600,74,18.22,-63.06,82.4,14.99
322,tarakan,24,ID,1529881011,100,3.3,117.63,79.41,4.81
323,mahbubabad,80,IN,1529881011,74,17.62,80.02,79.32,11.41
324,aswan,0,EG,1529877600,24,24.09,32.9,91.4,10.29
325,la trinitaria,88,MX,1529881012,85,16.12,-92.05,70.14,2.68
326,koindu,92,LR,1529881013,99,8.2,-10.37,68.34,2.91
327,mahon,0,IE,1529879400,67,51.89,-8.4,57.2,4.7
328,shiloh,75,US,1529879700,74,38.56,-89.9,82.4,6.93
329,leh,92,IN,1529880627,97,34.16,77.58,29.01,1.57
330,ilulissat,40,GL,1529877000,86,69.22,-51.1,37.4,5.82
331,busko-zdroj,92,PL,1529881015,93,50.47,20.72,53.67,7.38
332,raudeberg,92,NO,1529878800,93,61.99,5.14,53.6,9.17
333,alofi,36,NU,1529877600,88,-19.06,-169.92,78.8,10.29
334,touros,88,BR,1529881016,80,-5.2,-35.46,79.5,19.01
335,darnah,0,LY,1529881017,98,32.77,22.64,76.62,13.65
336,bilibino,92,RU,1529880454,100,68.06,166.44,53.94,2.91
337,soyo,20,AO,1529881020,99,-6.13,12.37,69.78,3.69
338,karanganom,88,ID,1529881020,100,-8.13,113.13,76.08,9.84
339,port elizabeth,1,US,1529877360,69,39.31,-74.98,87.8,4.7
340,soderhamn,0,SE,1529881021,64,61.3,17.06,55.2,6.93
341,marystown,92,CA,1529881021,96,47.17,-55.16,51.69,3.13
342,saint-augustin,0,FR,1529879400,52,44.83,-0.61,69.8,9.17
343,okulovka,0,RU,1529881023,90,58.37,33.3,50.79,7.38
